Link,title,location,salary,summary
https://kr.indeed.com/viewjob?jk=9df9131efcc1150d,사무집기 나르기 [단기알바] [초보가능] [하루도 가능] [주말 평일 가...,진성 서울 중구 +1 지역,"일당 85,000원","진성 | 직업소개 | 자재관리,상하차 | 아르바이트 | 1개월~3개월 | 월~일 | 조일근무 | 일급 85,000 | 20 ~ 45 | 2020-09-02"
https://kr.indeed.com/viewjob?jk=1b01e73aa5377651,한국예술종합학교 기숙사(천장관) 기간제근로자(사무보조원) 알림,한국예술종합학교 서울,,"[공무원·공공 ] - 국가공무원법 제33조(외무공무원은 외무공무원법 제9조, 검찰직 공무원은 검찰정법 제50조)의 임용 결격사유가 없는자 - 대한민국 국적자 - 7급 이상 : 20세 이상, 8,9급 : 18세 이상 한국예술종합..."
https://kr.indeed.com/viewjob?jk=ad27f39584d0b3c2,2020년 사무보조원(일용계약직),서민금융진흥원 서울,,우대사항 : 장애인 서민금융진흥원 2020년 서민금융진흥원 사무보조원(일용계약직) 채용공고 고용형태 계약직 모집인원 3명 자격요건 학력 : 무관 경력 : 신입/경력(연차무관) 나이 : 무관 우대사항 장애인 결격사유 - 대한민...
https://kr.indeed.com/viewjob?jk=110112001fd23ad3,GSO - FRONT OFFICE,Park Hyatt Seoul 4.1 서울,,You... responsible to provide an excellent and consistent level of service to your customers. The Guest Service Officer...
https://kr.indeed.com/viewjob?jk=799ebff942f51239,채용 관리 담당자/HR Recruiting Assistant (Contr...,TikTok 서울,,Responsibilities -채용 업무 운영 (각종 채용 채널 관리: 지원자를 확인하고 당사 채용 관리 시스템에 이력서 등 지원자 정보를 업데이트) - 지원자 문의 대응 - 채용 시스템 정보 업데이트 - 당사 채용 관리...
https://kr.indeed.com/viewjob?jk=aeaf3c4448bf21f1,Team Administrator (Finance and Administ...,뉴질랜드대사관 서울 중구,,Team Administrator (Finance and Administration) New Zealand Embassy Seoul The New Zealand Embassy in Seoul is looking...
https://kr.indeed.com/viewjob?jk=306c7310dfc88f73,"간병인, 요양보호사","간병인, 요양보호사 특급 일자리 중개 서울","월급 3,000,000원 - 6,000,000원","대한민국 1등 간병인, 요양보호사 중개 기업 케어닥과 함께 할 간병인, 간병사, 요양보호사 선생님을 상시 모집 합니다... 대우받을 수 있는 협회/센터와 일해보세요 > *케어닥은 선생님들이 존중받아야 더 나은 돌봄..."
https://kr.indeed.com/viewjob?jk=648c85b680981074,2020년 예금보험공사 신입직원 채용안내,예금보험공사 서울 중구,,"1. 채용예정 인원 : 30명 이내 채용분야 채용규모 직무기술서 금융일반 첨부 참고 경영 11명 경제 7명 금융통계 3명 회수조사 5명 IT 4명 합계 30명 이내 2. 지원자격 구분 지원자격 공통 ① 학력, 연령..."
https://kr.indeed.com/viewjob?jk=14ec58f00f2d7ea7,DIALYSIS Registered Nurse,WorldWide HealthStaff Solutions - Perm Placement 서울,"시급 31,000원 - 57,000원",*Seeking INTERNATIONAL RNs from around the world who are looking to give life in outpatient and inpatient dialysis centers...
https://kr.indeed.com/viewjob?jk=149b5c2bb76e2730,2020 인구주택총조사 교관단 업무지원을 위한 기간제근로자,통계청 서울,,경인지방통계청 공고 제2020-334호 [서울] 인구주택총조사 교관단 업무 지원을 위한 기간제근로자 추가모집 공고 경인지방통계청 서울사무소에서는 인구주택총조사 교관단 업무 지원을 위한 기간제 근로자 추가 모집 계획을 공고...
